subject,text,dir
Computer_Science,4 8 Exercises 275 4 15 IS 4 2 4 3 One user has told you that the three programs in Exercise 4 14 constitute the bulk of his workload but he does not run them equally The user wants to determine how the three computers compare when the workload consists of different mixes of these three programs You know you can use the arithmetic mean to find the relative performance Suppose the total number of floating point operations FLOPs executed in the workload is equally divided among the three programs That is program 1 runs 8 times for every time program 3 runs and program 2 runs twice for every time program 3 runs Find which computer is fastest forthis workload and by what fa c tor How does this compare with the total execution time with equal numbers of program executions 4 16 15J 4 2 4 3 An alternative weighting to that of Exercise 4 1 5 is to assume that equal amounts of time will be spent running each program on one of the com puters Which computer is fastest using the data given for Exercise 4 14 and assum ing a weighting that generates equal execution time for each of the benchmark programs on computer A Which computer is fastest ifwe assume a weighting that generates equal execution time on computer B Computer C Explain the results 4 17 5 J 4 2 4 3 If the clock rates of computers M 1 and M2 in Exercise 4 1 are 4 GHz and 6 GHz respectively find the clock cycles per instruction CPI for program 1 on both computers using the data in Exercises 4 1 and 4 2 4 18 5J 4 2 4 3 Assuming the CPI for program 2 on each computer in Exercise 4 1 is the same as the CPI for program 1 found in Exercise 4 1 7 find the instruction count for program 2 running on each computer using the execution times from Exercise 4 1 4 19 5J 4 3 II In More Depth Amdahl s Law II 4 20 10 4 3 In More Depth Amdahl s Law II 4 21 10 4 3 In More Depth Amdahl s Law II 4 22 5J 4 3 In More Depth Amdahl s Law 4 23 5J 4 3 II In More Depth Amdahl s Law II 4 24 20 4 3 In More Depth Amdahl s Law 4 25 5J 4 3 II In More Depth Choosing the Right Mean II 4 26 IS 4 3 In More Depth Choosing the Right Mean II 4 27 3 hours 4 3 In More Depth Synthetic Benchmarks Attempts to Replicate Typical Behavior 4 28 3 hours 4 3 In More Depth Synthetic Benchmarks Attempts to Replicate Typical Behavior,./data/Computer_Science/Computer_Science291.txt
Computer_Science,4 5 Fallacies and Pitfalls 26 First we find the execution time for the two different compilers using the fol ANSWER lowing equation CPU clock cycles Execution time Clock rate We can use an earlier fo rmula fo r CPU clock cycles L CPU clock cycles CPI XCi j I 9 9 CPUclock cycles 5 x l 1 x2 1 X 3 X 10 lOx 10 CPU clockcycles lOX 1 1 X 2 1 X 3 X 109 15 X 109 2 Now we find the execution time for the two compilers 9 10 X 10 Execution time 2 5 seconds 9 4 X 10 Execution time 3 75 seconds 2 So we conclude that compiler 1 generates the faster program according to execution time Now let s compute the MIPS rate for each version of the pro gram USlllg Instruction count MIPS Execution time X 106 9 5 1 1 X10 2800 6 2 5 X 10 9 MIPS 10 1 1 X10 3200 2 6 3 75 30 X 10 So the code from compiler 2 has a higher MIPS rating but the code from compiler 1 runs faster ,./data/Computer_Science/Computer_Science285.txt
Computer_Science,518 Chapter 7 Large and Fast Exploiting Memory Hierarchy Virtual page number Page table Physical page or Physical memory Valid disk address 1 1 1 1 0 1 1 0 Disk storage 1 1 0 1 I I FIGURE 7 22 The page table maps each page In virtual memory to either a page In main memory or a page stored on disk which Is the next level In the hierarchy The vir tual page number is used to index the page table If the valid bit is on the page table supplies the physical page number i e the starting address of the page in memory corresponding to the virtual page If the valid bit is off the page currently resides only on disk at a specified disk address In many systems the table of physical page addresses and disk page addresses while logically one table is stored in two sepa rate data structures Dual tables are justified in part because we must keep the disk addresses of all the pages even if they are currently in main memory Remember that the pages in main memory and the pages on disk are identical in size shows the organization when a single table holds either the physical page number or the disk address The operating system also creates a data structure that tracks which processes and which virtual addresses use each physical page When a page fault occurs if all the pages in main memory are in use the operating system must choose a page to replace Because we want to minimize the number of page faults most operating systems try to choose a page that they hypothesize will not be needed in the near future Using the past to predict the future operating systems follow the least recently used LRU replacement scheme which we mentioned in Section 7 3 The operating system searches for the least recently used page making the assumption that a page that has not been used in a long time is less likely to be needed than a more recently accessed page The replaced pages are written to swap space on the disk In case you are wondering the operating system is just another,./data/Computer_Science/Computer_Science534.txt
Computer_Science,Computers Reconstructing the in the Ancient World Real World Problem Analyzing and understanding archeological sites is challenging Can we find ways to use computers to help researchers to explore archeological sites and artifacts dis covered at those sites Solution Archeology is undergoing a revolu tion with the use of digital tools for mapping out ancient sites reconstructing damaged arti facts and recreating ancient sites in three dimensions Among the important new tech niques being used to analyze and recreate sites are the following D The use of geographical information sys tems GIS to help accurately measure A digital photograph taken from a llrtual reality sites GIS uses global positioning systems model of the new temple at Chavin de Huantar GPS to accurately pinpoint locations D Digital photography to obtain accurate allowing fast and precise measurements images of sites as well as individual of a site objects D Laser range finding to obtain accurate D Virtual reality and three dimensional vi measurements of the two and three sualization systems can use digital pho dimensional structure of objects Laser tographic data and accurate geospatial range finding is even being used with information to create realistic versions of low flying aircraft to obtain height archeological sites allowing archeolo measurements ,./data/Computer_Science/Computer_Science252.txt
Computer_Science,230 Chapter 3 Arithmetic for Computers 3 9 IOJ 3 2 If A is a 32 bit address typically an instruction sequence such as 1ui tO A_upper ori tO tO A_lower lw sO O HOl can be used to load the word at A into a register in this case sO Consider the following alternative which is more efficient lui tO A_upper_adjusted lw sO A_lower tO Describe how A_upper is adjusted to allow this simpler code to work Hint A_uppe r needs to be adjusted because A_lowe r will be sign extended 3 10 10 3 3 Find the shortest sequence of MIPSinstructions to determine if there is a carry out from the addition of two registers say registers t3 and t4 Place a 0 or 1 in register t 2 if the carry out is 0 or 1 respectively Hint It can be done in two instructions II 3 11 15J 3 3 For More Practice Writing MIPS Code to Perfonn Arithmetic 3 12 IS 3 3 Suppose that all of the conditional branch instructions except beq and bne were removed from the MIPS instruction set along with s 1t and all of its variants sl ti sltu sltui Show how toperform slt tO sO sl using the modified instruction set in which s 1t is not available Hint It requires more than two instructions 3 13 10 3 3 Draw the gates for the Sum bit of an adder given the equation on page 8 28 3 14 5J 3 4 For More PrJctice Writing MIPSCode to Perform Arithmetic II 3 15 20J 3 4 For More Practice Writing MIPS Code to Perform Arithmetic 3 16 2 weeks 3 4 For More Practice Simulating MIPS Machines 15 3 17 I week 3 4 For More Practice Simulating MIPS Machines III 3 18 5 J 3 4 For More Practice Carry Lookahead Adders 3 19 IS 3 4 For More Practice Carry Lookahead Adders 3 20 10 3 4 For More Practice Relative Performance of Adders,./data/Computer_Science/Computer_Science246.txt
Computer_Science,504 Chapter 7 Large and Fast Exploiting Memory Hierarchy Size of Tags versus Set Associativity EXAMPLE Increasing associativity requires more comparators and more tag bits per cache block Assuming a cadle of 4K blocks a four word block size and a 32 bit ad dress find the total number of sets and the total number of tag bits for caches that are direct mapped two way and four way set associative and fullyassociative 4 ANSWER Since there are 16 2 bytes per block a 32 bit address yields 32 4 28 bits to be used for index and tag The direct mapped cache has the same number of sets as blocks and hence 12 bits of index since log2 4K 12 hence the total number of tag bits is 28 12 X4K 16 X4K 64 Kbits Each degree of associativity decreases the number of sets by a factor of two and thus decreases the number of bits used to index the cadle by one and increases the number of bits in the tag by one Thus for a two way set associative cache there are 2Ksets and the total number of tagbits is 28 11 X2x 2K 34 X2K 68 Kbits For a four way set associative cache the total number of sets is IK and the total number of tag bits is 28 10 X4 X IK 72 X IK 72 Kbits For a fully associative cache there is only one set with 4K blocks and the tag is 28 bits leading to a total of 28 X4K X I 11 2K tag bits Choosing Which Block to Replace When a miss occurs in a direct mapped cache the requested block can go in exactly one position and the block occupying that position must be replaced In an associative cache we have a choice of where to place the requested block and hence a choice of which block to replace In a fully associative cache all blocks are candidates for replacement In a set associative cache we must choose among the blocks in the selected set least recently used LRlJ A The most commonly used scheme is least recently used LRU which we used replacement scheme in which in the previous example In an LRU scheme The block replaced is the one that has the block replaced is the one been unused for the longest time LRU replacement is implemented by keeping that has been unused for the track of when each element in a set was used relative to the other elements in the longest time set For a two way set associative cache tracking when the two elements were used can be implemented by keeping a single bit in each set and setting the bit to indicate an element whenever that element is referenced As associativity increases implementing LRU gets harder in Section 7 5 we will see an alternative scheme for replacement ,./data/Computer_Science/Computer_Science520.txt
Computer_Science,492 Chapter 7 Large and Fast Exploiting Memory Hierarchy Measuring and Improving Cache Performance In this section we begin by looking at how to measure and analyze cache perfor mance we then explore two different techniques for improving cache perfor mance One focuses on reducing the miss rate by reducing the probability that two different memory blocks will contend for the same cache location The sec ond technique reduces the miss penalty by adding an additional level to the hier archy This technique called multilevel caching first appeared in high end computers selling for over 1 00 000 in 1990 since then it has become common on desktop computers selling for less than 1000 CPU time can be divided into the clock cycles that the CPU spends executing the program and the clock cycles that the CPU spends wa iting for the memory system Normally we assume that the costs of cache accesses that are hits are part of the normal CPU execution cycles Thus CPU time CPU execution clock cycles Memory stall clock cycles x Clock cycle time The memory stall clock cycles come primarily from cache misses and we make that assumption here We also restrict the discussion to a simplified model of the memory system In real processors the stalls generated by reads and writes can be quite complex and accurate performance prediction usually requires very detailed simulations of the processor and memory system Memory stall clock cycles can be defined as the sum of the stall cycles coming from reads plus those coming from writes Memory stall clock cycles Read stall cycles Write stall cycles The read stall cycles can be defined in terms of the number of read accesses per program the miss penalty in clock cycles for a read and the read miss rate Read stall cycles Reads X Read miss rate X Read miss penalty Program Writes are more complicated For a write through scheme we have two sources of stalls write misses which usually require that we fetch the block before continu ing the write see the Elaboration on page 484 for more details on dealing with writes and write buffer stalls which occur when the write buffer is full when a write occurs Thus the cycles stalled for writes equals the sum of these two ,./data/Computer_Science/Computer_Science508.txt
Computer_Science,7 1 Introduction 468 7 2 The Basics of Caches 473 7 3 Measuring and Improving Cache Performance 492 7 4 Virtual Memory 511 7 5 A Common Framework for Memory Hierarchies 538 7 6 Real Stuff The Pentium P4 and the AMD Opteron Memory Hierarchies 546 7 7 Fallacies and Pitfalls 550 7 8 Concluding Remarks 552 7 9 Historical Perspective and Further Reading 555 7 10 Exercises 555 The Five Classic Components of a Computer Interlace,./data/Computer_Science/Computer_Science483.txt
Computer_Science,7 2 The Basics of Caches 481 10 o 1 4K Miss 5 mte 16 32 64 128 Block size FIGURE 7 8 Miss rate versus block size Note that miss rate actually goes up ifthe block size is too large relative to the cache size Each line represents a cache of different size This figure is independent of associativity discussed soon Unfortunately SPEC2000 traces would take too long if block size were included so these data are based on SPEC92 A more serious problem associated with just increasing the block size is that the cost of a miss increases The miss penalty is determined by the time required to fetch the block from the next lower level of the hierarchy and load it into the cache The time to fetch the block has two parts the latency to the first word and the transfer time for the rest of the block Clea rly unless we change the memory system the transfer time and hence the miss penalty will increase as the block size grows Furthermore the improvement in the miss rate starts to decrease as the blocks become larger The result is that the increase in the miss penalty over whelms the decrease in the miss rate for large blocks and cache performance thus decreases Of course if we design the memory to transfer larger blocks more effi ciently we can increase the block size and obtain further improvements in cache performance We discuss this topic in the next section Elaboration The major disadvantage of increasing the block size is that the cache miss penalty increases Although it is hard to do anything about the latency component of the miss penalty we may be able to hide some of the transfer time so that the miss penalty is effectively smaller The simplest method for doing this called early restart is simply to resume execution as soon as the requested word of the block is returned rather than wait for the entire block Many processors use this technique for instruction,./data/Computer_Science/Computer_Science497.txt
Computer_Science,22 Chapter 1 Computer Abstractions and Technology Processor M m o y Disk Processor and USB interface interlaces Graphics 110 bus slots DlMM dual inline memory module A small board that FIGURE 1 10 Close up of PC motherboard This board uses the Intel Pentiwn 4 processor which is located on the left upper quadrant of the board It is covered by a set of metal fins which look like a radia contains DRAM chips on both tor This structure is the hear sink used to help cool the chip The main memory is contained on one or sides SIMMs have DRAMs on more small boards that are perpendicuiar to the motherboard near the middle The DRAM chips are only one side Both DIMMs and mounted on these bo uds caUed DIMMs for dual inline memory moouies and then plugged into the con SIMMs are meant to be plugged nectors Much of the rest of the bo ud comprises connectors for external If0 devices audio MIDI and par into memory slots usually on a alleVserial at the right edge two PCI card slots near the boltom and an ATA connector used for attaching motherboard hard disks instruction set architecture Also called architecture An name the instruction set architecture or simply architecture of a machine abstract interface between the The instruction set architecnlfe includes anything programmers need to know to hardware and the lowest level make a binary machine language program work correctly including instructions software of a machine that I O devices and so on Typically the operating system will encapsulate the details encompasses all the information necessary to write a machine of doing I O allocating memory and other low level system functions so that language program that will run application programmers do not need to worry about such details The combina correctly including instruc tion of the basic instruction set and the operating system interface provided for tions registers memory access application programmers is called the application binary interface AB I O and so all An instruction set architecture allows computer designers to talk about func application binary interface tions independently from the hardware that performs them For example we can ABI The user portion of the talk about the functions of a digital clock keeping time displaying the time set instruction set plus the operat ting the alarm independently from the clock hardware quartz crystal LED dis ing system interfaces used by plays plastic buttons Computer designers distinguish architecture from an application programmers implementation of an architecture along the same lines an implementation is Defines a standard for binary hardwa re that obeys the architecnlfe abstraction These ideas bring us to another portability across computers Big Picture implementation Hardware that obeys the architecture abstraction ,./data/Computer_Science/Computer_Science38.txt
